optimizer,lr,epoch,accuracy,loss,test_accuracy,test_loss
SGD,0.069,200,1,0.000321328057908,0.970600008964539,0.183409929275513
SGD,0.07,200,1,0.000300393206999,0.972699999809265,0.160201385617256
SGD,0.071,200,1,0.000304322078591,0.96969997882843,0.169510513544083
SGD,0.072,200,1,0.000286797760054,0.971099972724915,0.16377167403698
SGD,0.073,200,1,0.000278991705272,0.970399975776672,0.177796646952629
SGD,0.074,200,1,0.000269814045168,0.969299972057342,0.178196221590042
SGD,0.075,200,1,0.000260608241661,0.971300005912781,0.170351356267929
SGD,0.076,200,1,0.000266559538431,0.969200015068054,0.162907913327217
SGD,0.077,200,1,0.000255908234976,0.97079998254776,0.172460064291954
SGD,0.078,200,1,0.000259790045675,0.972100019454956,0.167202949523926
SGD,0.079,200,1,0.000248310243478,0.972899973392487,0.152196660637856
SGD,0.08,200,1,0.000251008837949,0.972299993038178,0.164341196417809
SGD,0.081,200,1,0.000234059814829,0.971099972724915,0.177915930747986
SGD,0.082,200,1,0.000231544749113,0.972000002861023,0.165521010756493
SGD,0.083,200,1,0.00022304536833,0.970200002193451,0.172036334872246
SGD,0.084,200,1,0.00023337926541,0.972299993038178,0.165253162384033
SGD,0.085,200,1,0.000220864560106,0.973100006580353,0.143863618373871
SGD,0.086,200,1,0.000211593898712,0.972400009632111,0.157946780323982
SGD,0.087,200,1,0.00021662733343,0.972699999809265,0.157734721899033
SGD,0.088,200,1,0.000204049458262,0.971800029277802,0.171690374612808
SGD,0.089,200,1,0.000198267167434,0.971199989318848,0.165622502565384
SGD,0.09,200,1,0.000208584562643,0.973999977111816,0.159267947077751
SGD,0.091,200,1,0.000193863961613,0.969200015068054,0.176489010453224
SGD,0.092,200,1,0.000194366628421,0.971599996089935,0.158330082893372
SGD,0.093,200,1,0.000196303764824,0.972699999809265,0.15792877972126
SGD,0.094,200,1,0.000193041953025,0.970399975776672,0.170791238546371
SGD,0.095,200,1,0.000186395365745,0.972500026226044,0.155685633420944
SGD,0.096,200,1,0.000180470538908,0.969799995422363,0.178916469216347
SGD,0.097,200,1,0.000183739088243,0.971199989318848,0.162389874458313
SGD,0.098,200,1,0.000184090255061,0.970600008964539,0.167658507823944
SGD,0.099,200,1,0.000178322385182,0.971400022506714,0.170560210943222
SGD,0.1,200,1,0.000180127011845,0.972000002861023,0.163787737488747
RMSprop,0.001,200,1,9.46521638844899E-10,0.971199989318848,0.562053263187408
RMSprop,0.002,200,1,0,0.973999977111816,0.722578763961792
RMSprop,0.003,200,0.999859988689423,0.001089794910513,0.971300005912781,1.19480812549591
RMSprop,0.004,200,0.999740004539489,0.002324767410755,0.969299972057342,1.5649117231369
RMSprop,0.005,200,0.999660015106201,0.003014549612999,0.972299993038178,1.73565626144409
